Disease,Description
Drug Reaction,"An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs."
Malaria,"An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type."
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body. They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
Psoriasis,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
Chronic cholestasis,"Chronic cholestatic diseases are characterized by defective bile acid transport from the liver to the intestine, usually due to damage to the biliary epithelium."
hepatitis A,"Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus."
Osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions worldwide. It occurs when the protective cartilage on the ends of your bones wears down over time."
(vertigo) Paroymsal  Positional Vertigo,"Benign paroxysmal positional vertigo (BPPV) is a common cause of vertigo — the sudden sensation that you're spinning. It causes brief episodes of dizziness."
Hypoglycemia,"Hypoglycemia is a condition in which your blood sugar level is lower than normal. It's often related to diabetes treatment, but other conditions can cause it too."
Acne,"Acne vulgaris is a skin condition involving obstruction and inflammation of hair follicles and sebaceous glands. It often affects adolescents."
Diabetes,"Diabetes is a disease that occurs when your blood glucose (blood sugar) is too high. Insulin helps glucose get into your cells to be used for energy."
Impetigo,"Impetigo is a common and highly contagious skin infection that mainly affects infants and children. It appears as red sores that burst and form honey-colored crusts."
Hypertension,"Hypertension (high blood pressure) is a condition in which the force of the blood against your artery walls is too high."
Peptic ulcer diseae,"Peptic ulcer disease is a sore that develops on the lining of the stomach, small intestine, or esophagus."
Dimorphic hemorrhoids(piles),"Hemorrhoids are swollen blood vessels in the rectum or anus. They may be internal or external and can cause pain or bleeding."
Common Cold,"The common cold is a viral infection of the upper respiratory tract. It's usually harmless, but symptoms can be annoying."
Chicken pox,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus. It causes an itchy, blister-like rash."
Cervical spondylosis,"Cervical spondylosis is age-related wear and tear affecting the spinal disks in your neck. It can cause pain and stiffness."
Hyperthyroidism,"Hyperthyroidism occurs when the thyroid gland produces too much thyroxine, speeding up the body's metabolism."
Urinary tract infection,"A urinary tract infection (UTI) is an infection in any part of the urinary system — kidneys, ureters, bladder, and urethra."
Varicose veins,"Varicose veins are enlarged, twisted veins usually occurring in the legs due to faulty valves in the vein."
AIDS,"Acquired immunodeficiency syndrome (AIDS) is caused by HIV and weakens the immune system, making the body vulnerable to infections."
Paralysis (brain hemorrhage),"Intracerebral hemorrhage is bleeding into the brain tissue, often causing sudden symptoms like paralysis on one side of the body."
Typhoid,"Typhoid is caused by Salmonella typhi bacteria. It causes fever, weakness, stomach pain, and loss of appetite."
Hepatitis B,"Hepatitis B is a viral infection of the liver that can cause chronic disease and increases the risk of liver failure or cancer."
Fungal infection,"Fungal infections occur when a fungus invades the body and the immune system can't handle it. They can affect the skin, nails, and lungs."
Hepatitis C,"Hepatitis C is a viral infection that causes liver inflammation, potentially leading to serious liver damage."
Migraine,"Migraine is a neurological condition characterized by intense, debilitating headaches often accompanied by nausea and sensitivity to light."
Bronchial Asthma,"Asthma causes the airways to narrow and swell, producing extra mucus, leading to difficulty breathing, coughing, and wheezing."
Alcoholic hepatitis,"Alcoholic hepatitis is inflammation of the liver due to excessive alcohol intake. It can be mild or life-threatening."
Jaundice,"Jaundice is the yellowing of the skin and eyes caused by high bilirubin levels in the blood, often indicating liver dysfunction."
Hepatitis E,"Hepatitis E is a liver disease caused by the hepatitis E virus. It spreads through contaminated water or food."
Dengue,"Dengue is a mosquito-borne viral infection causing flu-like symptoms, joint pain, and skin rash. Severe dengue can be fatal."
Hepatitis D,"Hepatitis D is a liver infection caused by the hepatitis delta virus, and it only occurs in people also infected with hepatitis B."
Heart attack,"A heart attack occurs when blood flow to the heart is blocked, damaging the heart muscle."
Pneumonia,"Pneumonia is an infection that inflames the air sacs in one or both lungs, which may fill with fluid or pus."
Arthritis,"Arthritis causes swelling and tenderness in joints. It worsens with age and includes osteoarthritis and rheumatoid arthritis."
Gastroenteritis,"Gastroenteritis is inflammation of the stomach and intestines, causing diarrhea, vomiting, and abdominal cramps."
Tuberculosis,"Tuberculosis is a bacterial infection that mainly affects the lungs but can also affect other parts of the body."
